Random Seed = 56
77 13 90 79
Reading cmse2.txt
Reading in 50x50 array
Done with Generation 0 with best=9322 fitness=293
Done with Generation 1 with best=5499 fitness=292
Done with Generation 2 with best=5079 fitness=291
Done with Generation 3 with best=6095 fitness=288
Done with Generation 4 with best=6095 fitness=288
Done with Generation 5 with best=6095 fitness=288
Done with Generation 6 with best=5414 fitness=287
Done with Generation 7 with best=5414 fitness=287
Done with Generation 8 with best=5414 fitness=287
Done with Generation 9 with best=5414 fitness=287
Done with Generation 10 with best=5414 fitness=287
Done with Generation 11 with best=5386 fitness=286
Done with Generation 12 with best=5386 fitness=286
Done with Generation 13 with best=5386 fitness=286
Done with Generation 14 with best=5386 fitness=286
Done with Generation 15 with best=5386 fitness=286
Done with Generation 16 with best=5386 fitness=286
Done with Generation 17 with best=6095 fitness=285
Done with Generation 18 with best=6095 fitness=285
Done with Generation 19 with best=6095 fitness=285
Done with Generation 20 with best=1335 fitness=283
Done with Generation 21 with best=5053 fitness=282
Done with Generation 22 with best=5216 fitness=281
Done with Generation 23 with best=5053 fitness=280
Done with Generation 24 with best=5053 fitness=280
Done with Generation 25 with best=5053 fitness=280
Done with Generation 26 with best=5053 fitness=280
Done with Generation 27 with best=5053 fitness=280
Done with Generation 28 with best=5053 fitness=280
Done with Generation 29 with best=5053 fitness=280
Done with Generation 30 with best=5053 fitness=280
Done with Generation 31 with best=5053 fitness=280
Done with Generation 32 with best=5053 fitness=280
Done with Generation 33 with best=5053 fitness=280
Done with Generation 34 with best=5053 fitness=280
Done with Generation 35 with best=5053 fitness=280
Done with Generation 36 with best=5053 fitness=280
Done with Generation 37 with best=5053 fitness=280
Done with Generation 38 with best=5053 fitness=280
Done with Generation 39 with best=5053 fitness=280
Done with Generation 40 with best=5053 fitness=280
Done with Generation 41 with best=5053 fitness=280
Done with Generation 42 with best=5438 fitness=279
Done with Generation 43 with best=5438 fitness=279
Done with Generation 44 with best=5438 fitness=279
Done with Generation 45 with best=5438 fitness=279
Done with Generation 46 with best=5438 fitness=279
Done with Generation 47 with best=1 fitness=278
Done with Generation 48 with best=1 fitness=278
Done with Generation 49 with best=1 fitness=278
Done with Generation 50 with best=1 fitness=278
Done with Generation 51 with best=1 fitness=278
Done with Generation 52 with best=1 fitness=278
Done with Generation 53 with best=1 fitness=278
Done with Generation 54 with best=1 fitness=278
Done with Generation 55 with best=1 fitness=278
Done with Generation 56 with best=1 fitness=278
Done with Generation 57 with best=1 fitness=278
Done with Generation 58 with best=1 fitness=278
Done with Generation 59 with best=1 fitness=278
Done with Generation 60 with best=1 fitness=278
Done with Generation 61 with best=1 fitness=278
Done with Generation 62 with best=1 fitness=278
Done with Generation 63 with best=1 fitness=278
Done with Generation 64 with best=1 fitness=278
Done with Generation 65 with best=1 fitness=278
Done with Generation 66 with best=1 fitness=278
Done with Generation 67 with best=1 fitness=278
Done with Generation 68 with best=1 fitness=278
Done with Generation 69 with best=1 fitness=278
Done with Generation 70 with best=1 fitness=278
Done with Generation 71 with best=1 fitness=278
Done with Generation 72 with best=1 fitness=278
Done with Generation 73 with best=1 fitness=278
Done with Generation 74 with best=1 fitness=278
Done with Generation 75 with best=1 fitness=278
Done with Generation 76 with best=1 fitness=278
Done with Generation 77 with best=1 fitness=278
Done with Generation 78 with best=1 fitness=278
Done with Generation 79 with best=1 fitness=278
Done with Generation 80 with best=1 fitness=278
Done with Generation 81 with best=1 fitness=278
Done with Generation 82 with best=1 fitness=278
Done with Generation 83 with best=1 fitness=278
Done with Generation 84 with best=1 fitness=278
